Uniq Id,Crawl Timestamp,Pageurl,Website,Title,Num Of Reviews,Average Rating,Number Of Ratings,Model Num,Sku,Upc,Manufacturer,Model Name,Price,Monthly Price,Stock,Carrier,Color Category,Internal Memory,Screen Size,Specifications,Five Star,Four Star,Three Star,Two Star,One Star,Discontinued,Broken Link,Joining Key
3e200df241596109a79b886e77699404,2021-03-22 08:19:25 +0000,https://www.walmart.com/ip/WiFi-Smart-Curtain-Switch-Touch-Panel-Phone-Control-Smart-Roller-Shutter-Switch/647045593,walmart.com,Gear Mechanical WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch,0,NA,0,KWWL-A-097,647045593,NA,Gear Mechanical,KWWL-A-097,22.99,NA,true,NA,Black,NA,NA,Variant Group ID : WOKY-09 | Variant Attribute Names : color | Product Name : WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch | Manufacturer : Gear Mechanical | Manufacturer Part Number : KWWL-A-097 | Is Primary Variant : Y | Model : KWWL-A-097 | Brand : Gear Mechanical | Features : WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch,NA,NA,NA,NA,NA,FALSE,FALSE,569c4567f6da0981859709e9680a5c5d
c1f78342b07fb55b0633bef4c0615e27,2021-03-22 08:19:25 +0000,https://www.walmart.com/ip/WiFi-Smart-Curtain-Switch-Touch-Panel-Phone-Control-Smart-Roller-Shutter-Switch/385702066,walmart.com,Gear Mechanical WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch,0,NA,0,AA-HF-98,385702066,NA,Gear Mechanical,AA-HF-98,22.99,NA,true,NA,White,NA,NA,Variant Group ID : WOKY-09 | Variant Attribute Names : color | Product Name : WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch | Manufacturer : Gear Mechanical | Manufacturer Part Number : AA-HF-98 | Model : AA-HF-98 | Brand : Gear Mechanical | Features : WiFi Smart Curtain Switch Touch Panel Phone Control Smart Roller Shutter Switch,NA,NA,NA,NA,NA,FALSE,FALSE,569c4567f6da0981859709e9680a5c5d
8b7ef98ebb66612c6603134ffb6e1482,2021-03-22 08:55:24 +0000,https://www.walmart.com/ip/Spectra-Merchandising-SMPS-560-2-Watt-RMS-Black-White-Bluetooth-Wireless-Speaker-With-Color-Changing-LED-Lamp/44606782,walmart.com,Spectra Merchandising Spectra Merchandising SMPS-560 2 Watt RMS Black/White BluetoothÂ® Wireless Speaker With Color Changing LED Lamp,0,NA,0,SMPS-560,44606782,077283905605,SPECTRA MERCHANDISING INTL INC,SMPS-560,20.57,NA,true,NA,NA,NA,NA,"Brand : Spectra Merchandising | Manufacturer Part Number : SMPS-560 | Manufacturer : SPECTRA MERCHANDISING INTL INC | Assembled Product Weight : 4.3"" | Color : Multicolor | Model : SMPS-560 | Assembled Product Dimensions (L x W x H) : 5.00 x 1.00 x 5.00 Inches",NA,NA,NA,NA,NA,FALSE,FALSE,de4fdcc2023516b83ca467afd31de6c8
a1d1107302dcc4e34bb9095fc932be78,2021-03-22 08:50:34 +0000,https://www.walmart.com/ip/ANSELL-RD96-T-92-111-04-Chemical-Resistant-Coverall-L-Red-Chemical-Laminate/133597890,walmart.com,"Ansell ANSELL RD96-T-92-111-04 Chemical Resistant Coverall , L , Red , Chemical Laminate ,",0,NA,0,NA,133597890,076490060688,Ansell,NA,1149,NA,true,NA,NA,NA,NA,Brand : Ansell | Color : Red | Assembled Product Weight : 0.45 lb,NA,NA,NA,NA,NA,FALSE,FALSE,c715ae36d3bff4082e6b3572aba62bdf
bb29f162082c216ec682a8336010585d,2021-03-22 08:09:16 +0000,https://www.walmart.com/ip/Non-slip-Voice-Remote-Silicone-Shock-Proof-Case-Cover-for-2nd-Gen-Fire-TV-Stick-Alexa-Green-MASCARRY/878966042,walmart.com,Mascarry Non-slip Voice Remote Silicone Shock Proof Case Cover for 2nd Gen Fire TV Stick Alexa(Green) - MASCARRY,0,NA,0,NA,878966042,737507070273,FUN FOR ALL LLC,NA,6.98,NA,true,NA,Green,NA,NA,Manufacturer : FUN FOR ALL LLC | Brand : Mascarry | Features : Remote Case Cover,NA,NA,NA,NA,NA,FALSE,FALSE,7a628219aed633c1c198414c5a2ddd21
b254403ae4ebbcc0b9b30eb33ef7a59e,2021-03-22 08:09:16 +0000,https://www.walmart.com/ip/Non-slip-Voice-Remote-Silicone-Shock-Proof-Case-Cover-for-2nd-Gen-Fire-TV-Stick-Alexa-Green-MASCARRY/623281864,walmart.com,Mascarry Non-slip Voice Remote Silicone Shock Proof Case Cover for 2nd Gen Fire TV Stick Alexa(Black) - MASCARRY,0,NA,0,NA,623281864,737507070303,FUN FOR ALL LLC,NA,6.96,NA,true,NA,Black,NA,NA,Manufacturer : FUN FOR ALL LLC | Brand : Mascarry | Features : Remote Case Cover,NA,NA,NA,NA,NA,FALSE,FALSE,7a628219aed633c1c198414c5a2ddd21
145bee94daba53a7fb9f213809a5fdb6,2021-03-22 08:09:16 +0000,https://www.walmart.com/ip/Non-slip-Voice-Remote-Silicone-Shock-Proof-Case-Cover-for-2nd-Gen-Fire-TV-Stick-Alexa-Green-MASCARRY/116948145,walmart.com,Mascarry Non-slip Voice Remote Silicone Shock Proof Case Cover for 2nd Gen Fire TV Stick Alexa(Blue) - MASCARRY,0,NA,0,NA,116948145,737507070280,FUN FOR ALL LLC,NA,6.45,NA,true,NA,Blue,NA,NA,Manufacturer : FUN FOR ALL LLC | Brand : Mascarry | Features : Remote Case Cover,NA,NA,NA,NA,NA,FALSE,FALSE,7a628219aed633c1c198414c5a2ddd21
a9e9f40ed2543289f0d3a40b0c1ee6e6,2021-03-22 08:09:16 +0000,https://www.walmart.com/ip/Non-slip-Voice-Remote-Silicone-Shock-Proof-Case-Cover-for-2nd-Gen-Fire-TV-Stick-Alexa-Green-MASCARRY/696389086,walmart.com,Mascarry Non-slip Voice Remote Silicone Shock Proof Case Cover for 2nd Gen Fire TV Stick Alexa(Red) - MASCARRY,0,NA,0,NA,696389086,737507070297,FUN FOR ALL LLC,NA,6.98,NA,true,NA,Red,NA,NA,Manufacturer : FUN FOR ALL LLC | Brand : Mascarry | Features : Remote Case Cover,NA,NA,NA,NA,NA,FALSE,FALSE,7a628219aed633c1c198414c5a2ddd21
4eccb292ede8de16be4a1b7160c84bc6,2021-03-22 08:49:00 +0000,https://www.walmart.com/ip/4-Pack-BAND-AID-Bandages-Tough-Strips-Extra-Large-All-One-Size-10-Each/127961369,walmart.com,Johnson & Johnson 4 Pack - BAND-AID Bandages Tough-Strips Extra Large All One Size 10 Each,23,2.7,23,NA,127961369,643665526838,Johnson & Johnson,NA,16.87,NA,true,NA,NA,NA,NA,Number of Customer Ratings : 23 | Condition : New | Manufacturer Part Number : 381370044246 | Brand : Johnson & Johnson | Product Name : 4 Pack - BAND-AID Bandages Tough-Strips Extra Large All One Size 10 Each,9,0,0,2,12,FALSE,FALSE,265b667c982cff4d5765c0c317870286
e096f531a3236341d1e6a585a313af3e,2021-03-22 08:19:16 +0000,https://www.walmart.com/ip/Smart-Wifi-Color-Changing-LED-Free-App-Control-Remote-Light-Bulb-Compatible-With-Amazon-AlexaandGoogle-Home-Assistant/400617942,walmart.com,Novelty E Smart Wifi Color Changing LED Free App Control Remote Light Bulb Compatible With Amazon AlexaandGoogle Home Assistant,0,NA,0,NA,400617942,NA,Novelty E,NA,11.28,NA,true,NA,NA,NA,NA,Brand : Novelty E,NA,NA,NA,NA,NA,FALSE,FALSE,713fc5bc26019431a5fe72944e37e83e
